insertion_finder v2.1.2
Query file: /home/oocyst/insertion_finder/fasta/microviridae.fasta
Database file: /usr/local/genome/databases/patric/microviridae_Patric.fasta
Element length: 4000-50000
Query coverage: 30-90
Maximum block distance: 50
Number of threads: 18
Element color: [255, 0, 0]

Query ID	Subject ID	Element identification	Element 5' coordinate	Element 3' coordinate	Element length	Valid
NMEU01000021_1	QITH01000047	yes	7818	12321	4503	yes
FOBY01000005_1	CAAKNR010000141	yes	10376	13182	2806	no
NZ_EQ973357_1	DXOY01000005	yes	7267	13665	6398	yes
NOFY01000025_1	PGKG01000024	yes	8021	12524	4503	yes
LAAO01000012_1	LVUT01000012	yes	13782	19048	5266	yes
LPYF01000206_1	BGDQ01000151	yes	7864	12354	4490	yes
LT559262_1	CAJSYV010000006	yes	7401	13528	6127	yes
FOXE01000003_1	UQXD01000001	yes	7960	13313	5353	yes
AGZN01000032_1	ACUA01000003	yes	7809	12411	4602	yes
NZ_DS990119_1	QRHQ01000003	yes	7134	13564	6430	yes
DFCL01000056_1	DBYY01000007	yes	3753	3840	87	no
LPYC01000202_1	BGDQ01000151	yes	8023	12513	4490	yes
NMBU01000011_1	NLVH01000010	yes	8021	12546	4525	yes
CYAS01000031_1	NLKE01000049	yes	4886	5059	173	no
JQIR01000112_1	CACVAU010000038	yes	3516	3635	119	no
JNHP01000073_1	WKMG01000005	yes	0	0	0	no
FOAL01000001_1	DXON01000043	yes	10363	13321	2958	no
HF992559_1	CAJLWK010000018	yes	6257	12424	6167	yes
JXUH01000043_1	LR134231	yes	8024	12290	4266	yes
LN590509_1	CDLW01000001	yes	13890	14110	220	no
ASYJ01000020_1	CP023403	yes	7463	11917	4454	yes
LOPD01000013_1	LR134152	yes	8024	12477	4453	yes
FMGL01000009_1	FMET01000009	yes	6298	11585	5287	yes
LIVI01000020_1	PJRD01000119	yes	7862	12347	4485	yes
JNHP01000154_1	DPOT01000019	yes	1532	1732	200	no
LOPE01000019_1	UCWD01000054	yes	1	4178	4177	yes
NLRI01000019_1	NOBS01000024	yes	7818	12321	4503	yes
LVUT01000012_1	LPQB01000034	yes	7959	13633	5674	yes
NZ_GG740072_1	KV814998	yes	7075	13697	6622	yes
LRGC01000013_1	UFSX01000001	yes	10359	13425	3066	no
NOGA01000025_1	RBKP01000020	yes	7818	12321	4503	yes
JNHQ01000161_1	JNHQ01000057	yes	1552	3092	1540	no
CDMA01000001_1	CDMA01000001	yes	218	317	99	no
CZBL01000008_1	CP041230	yes	11081	12829	1748	no

Processed 106 queries with 64 valid elements
Duration: 0:38:33.485106
