insertion_finder v2.2.3
Query file: /home/oocyst/insertion_finder/insertion/elements_selected.fasta
Database file: /usr/local/genome/databases/patric/casposons_Patric.fasta
BLASTn search execution time: 0:20:31.548230
Element length: 4000-12000
Query coverage: 30-90
Maximum block distance: 100
Number of threads: 20
Element color: [220, 220, 247]

Query ID	Subject ID	Element identification	Element 5' coordinate	Element 3' coordinate	Element length	Valid
QHBP01000358_1	no valid hits	no				no
PLTW01000060_1	no valid hits	no				no
PNBQ01000281_1	PLIS01000397	yes	2406	2706	300	no
CP042430_1	SYBY01000288	no				no
CP009504_1	RPOV01000919	no				no
CP009506_1	RPOV01000786	no				no
PKZF01000063_1	PMTU01000084	yes	1	3645	3644	no
JJOZ01000022_1	QJZY01000002	yes	12752	22774	10022	yes
QIAN01000363_1	QHZT01000519	no				no
CP011533_1	CP047146	yes	1996	3969	1973	no
PLKX01000033_1	PKYY01000147	yes	16233	21234	5001	yes
DQHH01000297_1	JADWML010000001	yes	1292	11052	9760	yes
QEXV01000003_1	SRXW01000001	yes	2643	17244	14601	no
AJVJ01000035_1	MGYH01000014	no				no
DAYP01000058_1	no hits	no				no
RHCV01000065_1	no hits	no				no
CP011070_1	1773.18725.con.0172	no				no
JJQF01000019_1	QJZY01000002	no				no
PLIT01000027_1	PLZY01000381	yes	5288	12673	7385	yes
JABFSW010000171_1	no hits	no				no
AQXT01000002_1	QWGB01000005	yes	4431	20907	16476	no
NATZ01000022_1	NATY01000065	yes	20334	25852	5518	yes
LN890280_1	JAHJRV010000094	no				no
CP058215_2	SDYI01000017	no				no
FNSX01000001_1	FNLG01000001	yes	5367	15794	10427	yes
PKXK01000062_1	PLZY01000381	yes	11488	11489	1	no
MVQW01000043_1	RPOV01001443	no				no
AROY01000776_1	CP047146	yes	13295	14739	1444	no
QWTZ01000009_1	ATXN01000004	yes	8551	18577	10026	yes
JACCCV010000001_1	JACHEA010000001	yes	6114	22481	16367	no
PLZY01000418_1	PKXK01000066	yes	937	943	6	no
PMON01000070_1	PMON01000028	yes	22863	24253	1390	no
AP017646_1	RPOV01000786	no				no
CAJE01000015_1	1733.1598.con.0517	no				no
PLDV01000041_1	PLIO01000104	yes	7172	19684	12512	no
MNHP01000017_1	no hits	no				no
OKRB01000093_1	PLWF01000051	yes	16075	18124	2049	no
PKZV01000008_1	PLVC01000009	yes	13563	13756	193	no
CP009512_2	RPOV01000786	no				no
PMUA01000047_1	PKYY01000147	yes	16233	21234	5001	yes
CP013341_2	LT907782	yes	7707	10025	2318	no
JAACSK010000001_1	JAACUL010000362	no				no
BNCI01000001_1	FNAK01000008	yes	7527	20931	13404	no
PLEH01000040_1	CAIMPX010000037	yes	1600	1755	155	no
PMUL01000317_1	PMUA01000063	yes	7421	7522	101	no
PLLA01000063_1	PLLA01000067	no				no
CAIOJV010000030_1	CAIMOU010000191	yes	1	16687	16686	no
CAIMPD010000002_1	CAIOJV010000030	yes	23938	26293	2355	no
CAISEP010000023_1	CAIOJV010000030	yes	1	2356	2355	no
PMUL01000280_1	PKYY01000147	yes	12160	17194	5034	yes
AJVI01000008_1	BFAQ01000019	no				no
QHXV01000311_1	QHYE01000080	yes	4440	6147	1707	no
PKXQ01000101_1	PLIZ01000661	yes	8986	9720	734	no
LAPR01000005_1	LARQ01000010	yes	12655	17154	4499	yes
CADEDJ010000065_1	CAJBCG010000098	no				no
OKRG01000096_1	QHYZ01000001	yes	4348	12105	7757	yes
PBHK01000048_1	PAXC01000022	yes	13387	25538	12151	no
DAXN01000073_1	RPOV01000786	no				no
QHZR01000584_1	QHZT01000061	yes	2710	2879	169	no
CP026995_2	NZVL01000054	no				no
PMOT01000028_1	PLIO01000104	yes	5623	18135	12512	no
PLDC01000028_1	PMOT01000010	yes	19630	26794	7164	yes
PMHJ01000011_1	PMUK01000158	no				no
JAACQY010000016_1	JAACUL010000362	no				no
JJOW01000067_1	RPOV01000786	yes	10458	20346	9888	yes
SIXH01000098_1	BHXC01000006	yes	1057	3219	2162	no
PMTQ01000004_1	PLBN01000117	no				no
JJQC01000085_1	RPOV01000021	yes	5724	5939	215	no
CP046181_1	DEIJ01000083	no				no
LDRO01000002_1	FMWU01000019	yes	4640	20215	15575	no
JJOY01000052_1	RPOV01000461	no				no
AWFH01000024_1	AWFE01000056	no				no
DHQQ01000060_1	NZQE01000016	yes	15350	18795	3445	no
MNHP01000169_1	no hits	no				no
QEXV01000001_1	SRXW01000001	yes	4332	16752	12420	no
PMAT01000091_1	PMTU01000084	yes	3448	3836	388	no
CP058215_1	AUBQ01000005	no				no
DHQO01000001_1	JAAEZZ010000012	yes	15214	18671	3457	no
NCSU01000007_1	QWFZ01000003	yes	5315	18250	12935	no
DAGK01000010_1	RPOV01000171	no				no
CP009518_1	QJZY01000002	no				no
AGBF01000181_1	CP028369	no				no
RJKT01000001_2	JACCCV010000001	no				no
CP039865_1	CP039690	yes	4981	23905	18924	no
JJQA01000085_1	RPOV01000021	yes	5724	5939	215	no
JAAYQL010000081_1	RPOV01000021	no				no
CP045477_1	JAACUL010000362	no				no
JJQI01000065_1	RPOV01000786	yes	6405	15531	9126	yes
DBZJ01000057_1	no valid hits	no				no
CP012199_1	DISY01000017	yes	8846	18937	10091	yes
MNED01000022_1	no hits	no				no
CP009516_1	QIAM01000019	no				no
MNFZ01000044_1	no hits	no				no
JJOV01000050_1	RPOV01001320	yes	26047	26423	376	no
JRHO01000013_1	no hits	no				no
JJPX01000060_1	RPOV01000786	no				no
PMUV01000114_1	PMOT01000010	yes	25605	25606	1	no
MNED01000019_1	no hits	no				no
VWOJ01000001_1	CABWMW010000001	yes	2514	4158	1644	no
FNLN01000049_1	LT907782	yes	563	4549	3986	no
RHDH01000011_1	no hits	no				no
PLWY01000128_1	PLKV01000418	yes	13826	13876	50	no
LSRV01000135_1	no hits	no				no
PLCB01000026_1	PLJX01000019	yes	2630	21427	18797	no
PMUV01000129_1	PLIO01000104	yes	4848	18346	13498	no
DHZO01000029_1	PAXZ01000017	no				no
JJQK01000288_1	RPOV01000786	no				no
MABA01000019_1	DFBM01000130	yes	2084	4365	2281	no
PLJV01000048_1	PKXG01000031	yes	10154	10402	248	no
PLWY01000555_1	PMUM01000105	yes	13391	14895	1504	no
PMLV01000003_1	PLAU01000054	no				no
QYUM01000004_1	AP018498	yes	5892	18396	12504	no
NCEE01000009_1	NCGB01000056	yes	8284	15711	7427	yes
LAIH01000004_1	LARQ01000010	yes	12655	17171	4516	yes
PLZY01000381_1	PKXK01000062	yes	19649	19726	77	no
AM114193_1	CAIKHA010000158	no				no
CP047146_1	BHXC01000006	yes	24157	25739	1582	no
PLSE01000157_1	PMVJ01000428	yes	1	6925	6924	yes
CP029176_1	BANB01000162	no				no
RKMD01000009_1	MIAL01000016	yes	7326	20471	13145	no
PMTU01000084_1	PKXN01000111	yes	2906	12134	9228	yes
CP011451_2	VNHT01000023	yes	1	3740	3739	no
JAALLC010000012_1	DEIJ01000083	no				no
SDYI01000017_1	LMPZ01000002	yes	687	14935	14248	no
CP050137_1	MKRR01000009	yes	8566	17835	9269	yes
WQBJ01000024_1	WQCA01000007	yes	9161	21119	11958	yes
SLWS01000011_1	SLWS01000003	yes	27301	27893	592	no
JJQN01000139_1	1733.10.con.0059	no				no
PLKX01000042_1	PKXQ01000101	yes	9721	15053	5332	yes
DEMB01000016_1	DQHH01000297	yes	14218	14221	3	no
PMAI01000122_1	PKYY01000147	yes	16233	21234	5001	yes
PLBT01000001_1	PLLF01000003	no				no
PKVT01000131_1	PKXK01000062	yes	10798	10875	77	no
JJQB01000104_1	RPOV01000021	yes	5724	5939	215	no
PLWS01000002_1	PMTQ01000004	yes	31070	31083	13	no
CP006871_1	CP011533	yes	22863	24399	1536	no
JAEPBX010000422_1	NATY01000065	yes	123	3913	3790	no
NATY01000065_1	JAEPCA010000023	yes	7602	17908	10306	yes
PLIT01000259_1	PLIO01000104	yes	7172	19684	12512	no
PMWW01000147_1	PMVJ01000428	yes	3671	10596	6925	yes
DLMF01000142_1	PLOE01000179	no				no
PMJX01000048_1	JABCZI010000006	no				no
LT907782_1	CP013341	yes	6990	10060	3070	no
AQXT01000002_2	NVWP01000005	yes	4539	14879	10340	yes
LMUT01000025_1	RJKT01000001	no				no
PNBQ01000001_1	PMOT01000010	yes	239	240	1	no
PKYT01000138_1	PMTU01000084	yes	1	3645	3644	no
MNFZ01000055_1	no hits	no				no
CP001941_1	no hits	no				no
SCUP01000083_1	DFBH01000007	no				no
QHZC01000404_1	QIAU01000040	no				no
PMAI01000092_1	PKXQ01000101	yes	1	5908	5907	yes
CP003843_1	PIVM01000082	no				no
AJVJ01000056_1	PIVM01000082	no				no
PMUA01000063_1	PKXO01000263	yes	1	108	107	no
PAQI01000031_1	PAXZ01000017	no				no
NHBK01000010_1	PBNO01000002	yes	13508	15810	2302	no
JJPN01000144_1	UQKK01000040	no				no
MNFB01000017_1	no hits	no				no
DHIQ01000140_1	DHWS01000021	yes	5221	5483	262	no
QHZT01000408_1	QHZR01000349	yes	4079	7240	3161	no
JJQC01000073_1	RPOV01000786	no				no
BHXC01000006_1	CP011533	yes	22863	24399	1536	no
SCIN01000003_1	AP022673	yes	4267	17300	13033	no
PMBQ01000225_1	no valid hits	no				no
FNLN01000060_1	FNLN01000049	yes	1	1095	1094	no
DAIL01000117_1	RPOV01000786	no				no
LFRP01000037_1	RPOV01001151	no				no
JAACRI010000001_1	JAACUL010000362	no				no
CP003842_1	BFAQ01000019	no				no
JJOX01000043_1	RPOV01000461	no				no
RHHA01000004_1	PHSO01000006	yes	1	124	123	no
CP029709_1	RPOV01000919	no				no
CP009513_1	RPOV01000733	no				no
JACIDX010000012_1	JABGCB010000001	yes	7475	19226	11751	yes
VNHT01000055_1	CP013341	yes	10963	14156	3193	no
AZAJ01000001_1	VBWP01000003	no				no
PHSO01000006_1	RHHA01000004	yes	16636	17548	912	no
DEMB01000003_1	JADWML010000003	yes	5959	16250	10291	yes
CP009512_1	RPOV01001089	no				no
VNHT01000023_1	FNNH01000009	yes	3853	17610	13757	no
CP013341_1	LT907782	yes	16929	22128	5199	yes
QHZT01000036_1	QHZT01000519	yes	1	2959	2958	no
CP007174_1	JAADYX010000134	no				no
JAEPCO010000275_1	JAEPBX010000422	yes	1552	2570	1018	no
QHYE01000080_1	MNDE01000142	yes	4623	10013	5390	yes
SRVI01000012_1	UBRM01000008	yes	6895	23215	16320	no
CP011451_1	VNHT01000055	yes	20981	27365	6384	yes
PLDC01000023_1	PLIO01000104	yes	5804	18316	12512	no
DPIS01000030_1	JQMZ01000001	yes	11359	12183	824	no
FRFC01000005_1	BMAH01000201	no				no
CAAGSM010000012_1	no hits	no				no
CAHJWJ010000015_1	CP050137	yes	15679	23049	7370	yes
MNFB01000065_1	no hits	no				no
CP009516_3	QJZY01000002	no				no
CP026993_1	CAIVME010000070	no				no
CP026995_1	CAIVJS010000006	no				no
FONE01000043_1	FONE01000044	yes	6404	6553	149	no
JJPZ01000158_1	UQKK01000040	no				no
JJPS01000151_1	QJZY01000002	no				no
JAAXCX010000003_1	PMTQ01000013	yes	5715	22476	16761	no
PKXO01000263_1	PLIZ01000661	yes	1	734	733	no
QHZT01000519_1	QIAN01000363	yes	3661	7912	4251	yes
LT841358_1	BMAH01000201	no				no
JXOJ01000008_1	QZJS01000098	no				no
LXTV01000011_1	AWFE01000075	yes	1471	16309	14838	no
CAIWFT010000046_1	CAIOJV010000030	yes	1	2356	2355	no
JAACSP010000001_1	JAACUL010000362	no				no
JACHEB010000004_1	JACCCV010000002	yes	5984	15747	9763	yes
BBBG01000003_1	RXYJ01000018	no				no
PKXN01000123_1	PKYT01000138	yes	9501	9772	271	no
NGFI01000014_1	BBUZ01000031	no				no
PAXZ01000014_1	PAXZ01000017	no				no
JACHEA010000001_1	JACCCV010000002	yes	10716	14053	3337	no
OMOD01000079_1	JABCZL010000005	yes	931	1251	320	no
RJJG01000001_1	DROB01000062	no				no
PLDN01000136_1	PKXG01000157	yes	18283	18318	35	no
JJPQ01000103_1	RPOV01001151	no				no
QHBP01000268_1	JAFAQZ010000495	no				no
CP003167_1	no hits	no				no
AWFE01000056_1	PAQD01000012	yes	5640	8022	2382	no
PMAC01000168_1	PKVY01000059	yes	956	2505	1549	no
MNGX01000062_1	no hits	no				no
PLZO01000043_1	JADGGD010000086	no				no
CABLZR010000012_1	1733.1598.con.0517	no				no
FOOX01000036_1	FOOX01000032	no				no
PMOT01000010_1	PLIT01000027	yes	127	3911	3784	no
CAAGSW010000001_1	no hits	no				no
CP042908_1	RPOV01000786	no				no
RHCQ01000089_1	no hits	no				no
RHDA01000101_1	no hits	no				no
MNEB01000066_1	QHYE01000080	yes	6531	6682	151	no
RJKT01000001_1	JQKI01000025	yes	4236	22671	18435	no
JAACQE010000005_1	JAACUL010000362	no				no
PLDV01000033_1	PMOT01000010	yes	1	7165	7164	yes
MNDE01000142_1	QHZB01000196	yes	5543	20001	14458	no
PLOE01000179_1	PMIS01000433	no				no

Processed 272 queries with 41 valid elements
Program execution time: 0:20:48.539869
